iter	Passed	Remaining
476	640	702
477	641	700
478	642	699
479	643	697
480	644	695
481	645	693
482	646	692
483	647	690
484	648	688
485	649	687
486	650	685
487	651	683
488	652	682
489	653	680
490	654	678
491	655	677
492	656	675
493	657	673
494	658	672
495	659	670
496	660	668
497	661	666
498	662	665
499	663	663
500	664	661
501	665	660
502	666	658
503	667	656
504	668	655
505	670	654
506	671	652
507	672	651
508	673	649
509	674	648
510	675	646
511	676	645
512	677	643
513	678	641
514	679	640
515	681	638
516	682	637
517	683	635
518	684	634
519	685	632
520	686	631
521	687	629
522	688	628
523	689	626
524	690	624
525	691	623
526	692	621
527	693	619
528	694	618
529	695	616
530	696	615
531	697	613
532	699	612
533	700	611
534	701	609
535	703	608
536	704	607
537	705	605
538	706	604
539	707	602
540	708	601
541	709	599
542	711	598
543	712	596
544	713	595
545	714	593
546	715	592
547	716	590
548	717	589
549	718	587
550	719	585
551	720	584
552	720	582
553	721	581
554	722	579
555	724	578
556	725	576
557	726	575
558	728	574
559	729	572
560	730	571
561	731	569
562	732	568
563	733	566
564	734	565
565	735	563
566	736	562
567	737	560
568	738	559
569	739	557
570	740	556
571	741	555
572	742	553
573	743	551
574	744	550
575	745	548
576	746	547
577	747	545
578	748	544
579	749	542
580	750	541
581	751	539
582	752	538
583	753	536
584	755	535
585	756	534
586	757	532
587	758	531
588	759	529
589	760	528
590	761	526
591	762	525
592	763	523
593	764	522
594	765	520
595	766	519
596	767	517
597	768	516
598	769	515
599	770	513
600	771	512
601	772	510
602	773	509
603	774	507
604	775	506
605	776	504
606	777	503
607	778	501
608	779	500
609	780	499
610	781	497
611	782	496
612	783	494
613	784	493
614	786	492
615	787	490
616	788	489
617	789	487
618	790	486
619	790	484
620	791	483
621	792	481
622	793	480
623	794	479
624	795	477
625	797	476
626	798	474
627	799	473
628	800	472
629	802	471
630	803	469
631	804	468
632	805	466
633	806	465
634	807	464
635	808	462
636	809	461
637	810	460
638	812	459
639	813	457
640	814	456
641	815	455
642	816	453
643	818	452
644	819	450
645	820	449
646	821	448
647	822	446
648	823	445
649	824	443
650	824	442
651	826	441
652	827	439
653	828	438
654	829	437
655	831	435
656	832	434
657	833	433
658	834	431
659	835	430
660	836	428
661	836	427
662	837	425
663	838	424
664	840	423
665	842	422
666	843	420
667	844	419
668	845	418
669	846	417
670	847	415
671	848	414
672	849	412
673	850	411
674	851	410
675	853	409
676	854	407
677	855	406
678	856	404
679	857	403
680	858	402
681	859	400
682	860	399
683	861	398
684	862	396
685	863	395
686	864	394
687	865	392
688	866	391
689	868	390
690	869	388
691	870	387
692	871	386
693	872	384
694	873	383
695	874	382
696	876	380
697	877	379
698	878	378
699	879	376
700	880	375
701	881	374
702	883	373
703	884	371
704	885	370
705	885	368
706	886	367
707	887	366
708	888	364
709	890	363
710	891	362
711	892	360
712	893	359
713	895	358
714	911	363
715	912	362
716	913	360
717	914	359
718	915	357
719	916	356
720	916	354
721	917	353
722	918	351
723	919	350
724	921	349
725	921	347
726	922	346
727	923	345
728	924	343
729	925	342
730	927	341
731	928	339
732	929	338
733	930	337
734	930	335
735	931	334
736	932	332
737	933	331
738	934	330
739	935	328
740	936	327
741	937	325
742	938	324
743	939	323
744	940	321
745	941	320
746	941	319
747	942	317
748	943	316
749	944	314
750	945	313
751	946	312
752	947	310
753	948	309
754	948	307
755	949	306
756	950	305
757	951	303
758	952	302
759	953	301
760	954	299
761	955	298
762	956	296
763	956	295
764	957	294
765	958	292
766	959	291
767	960	290
768	961	288
769	962	287
770	962	285
771	963	284
772	964	283
773	965	281
774	966	280
775	967	279
776	968	277
777	968	276
778	969	275
779	970	273
780	971	272
781	972	271
782	973	269
783	973	268
784	974	266
785	975	265
786	976	264
787	977	262
788	977	261
789	978	260
790	979	258
791	980	257
792	981	256
793	982	254
794	983	253
795	984	252
796	984	250
797	985	249
798	986	248
799	987	246
800	988	245
801	988	244
802	989	242
803	990	241
804	991	240
805	992	238
806	993	237
807	994	236
808	994	234
809	995	233
810	996	232
811	997	230
812	998	229
813	999	228
814	1000	227
815	1000	225
816	1001	224
817	1002	223
818	1003	221
819	1004	220
820	1004	219
821	1005	217
822	1006	216
823	1007	215
824	1008	213
825	1009	212
826	1010	211
827	1011	210
828	1012	208
829	1012	207
830	1013	206
831	1014	204
832	1015	203
833	1016	202
834	1017	200
835	1017	199
836	1018	198
837	1019	197
838	1020	195
839	1021	194
840	1022	193
841	1022	191
842	1024	190
843	1025	189
844	1026	188
845	1027	186
846	1027	185
847	1028	184
848	1029	183
849	1030	181
850	1031	180
851	1032	179
852	1032	177
853	1033	176
854	1034	175
855	1035	174
856	1036	172
857	1037	171
858	1038	170
859	1038	169
860	1039	167
861	1040	166
862	1041	165
863	1042	164
864	1043	162
865	1043	161
866	1044	160
867	1045	159
868	1046	157
869	1047	156
870	1048	155
871	1048	153
872	1049	152
873	1050	151
874	1051	150
875	1052	148
876	1053	147
877	1054	146
878	1054	145
879	1055	143
880	1056	142
881	1057	141
882	1058	140
883	1058	138
884	1059	137
885	1060	136
886	1061	135
887	1062	133
888	1063	132
889	1064	131
890	1064	130
891	1066	129
892	1067	127
893	1068	126
894	1068	125
895	1069	124
896	1070	122
897	1071	121
898	1072	120
899	1073	119
900	1073	117
901	1074	116
902	1075	115
903	1076	114
904	1077	113
905	1078	111
906	1078	110
907	1079	109
908	1080	108
909	1081	106
910	1082	105
911	1083	104
912	1084	103
913	1084	102
914	1085	100
915	1086	99
916	1087	98
917	1088	97
918	1088	95
919	1089	94
920	1090	93
921	1091	92
922	1092	91
923	1092	89
924	1093	88
925	1094	87
926	1095	86
927	1096	85
928	1097	83
929	1098	82
930	1099	81
931	1099	80
932	1100	79
933	1101	77
934	1102	76
935	1102	75
936	1103	74
937	1104	73
938	1105	71
939	1106	70
940	1107	69
941	1107	68
942	1108	67
943	1109	65
944	1110	64
945	1111	63
946	1112	62
947	1113	61
948	1114	59
949	1114	58
950	1115	57
951	1116	56
952	1117	55
953	1118	53
954	1118	52
955	1119	51
956	1120	50
957	1121	49
958	1122	47
959	1123	46
960	1124	45
961	1125	44
962	1126	43
963	1127	42
964	1127	40
965	1128	39
966	1129	38
967	1130	37
968	1131	36
969	1131	35
970	1132	33
971	1133	32
972	1134	31
973	1135	30
974	1135	29
975	1137	27
976	1138	26
977	1138	25
978	1139	24
979	1140	23
980	1141	22
981	1142	20
982	1143	19
983	1144	18
984	1144	17
985	1145	16
986	1146	15
987	1147	13
988	1148	12
989	1148	11
990	1149	10
991	1150	9
992	1151	8
993	1152	6
994	1153	5
995	1154	4
996	1154	3
997	1155	2
998	1156	1
999	1157	0
